model,MAE,RMSE,R2,dp,eps,delta
v2 non-DP (Keras),151.0416259765625,195.47161518683473,0.5114918947219849,False,,
v2 DP,399.9365234375,469.34129372984006,-1.816319465637207,True,6.978008228164965,1e-05
